"id","chembl_id"
4027,"CHEMBL590635"
4028,"CHEMBL463256"
4029,"CHEMBL463947"
4037,"CHEMBL462699"
4038,"CHEMBL469444"
4041,"CHEMBL455372"
4047,"CHEMBL506929"
4050,"CHEMBL517059"
4054,"CHEMBL465881"
4056,"CHEMBL502689"
4076,"CHEMBL390537"
4090,"CHEMBL1437285"
4122,"CHEMBL14253"
4124,"CHEMBL260669"
4125,"CHEMBL409505"
4128,"CHEMBL518556"
4129,"CHEMBL481434"
4132,"CHEMBL376350"
4134,"CHEMBL477971"
4135,"CHEMBL1221625"
4136,"CHEMBL2322191"
4137,"CHEMBL251767"
4138,"CHEMBL461484"
4139,"CHEMBL468034"
4140,"CHEMBL461483"
4141,"CHEMBL461276"
4142,"CHEMBL2203609"
4143,"CHEMBL465312"
4143,"CHEMBL517584"
4144,"CHEMBL519030"
4145,"CHEMBL452216"
4146,"CHEMBL179188"
